Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Montenegro,0,0.959521563,1.919043125,2.878564688,3.83808625,4.797607813,5.757129375,6.716650938,7.6761725,8.635694063,9.595215625,10.55473719,11.51425875,12.47378031,13.43330188,14.39282344,15.352345,13.808573,15.605083,13.460192,16.806063,13.862648,13.469028,14.504869,12.961574
Morocco,82.75576,83.8038,93.77931,94.765884,104.45442,102.451836,107.113556,111.35378,114.21169,118.49202,117.46338,126.90545,130.09198,130.45016,148.56302,161.33391,164.66475,163.22835,180.1308,175.78969,194.95639,204.74747,208.42181,213.97916,217.02507
Mozambique,5.4643,5.6074014,5.534178,5.9697113,5.77363,6.0863037,6.361627,7.56722,9.39491,22.797197,29.258709,37.512714,37.984047,38.472973,40.322792,44.25308,48.221252,53.581993,50.492657,54.579124,54.35235,61.550423,66.13165,70.08058,77.782234
Myanmar,25.123283,24.876244,26.01465,27.798685,32.523087,34.495865,34.847736,37.121716,41.13092,41.69722,48.04907,44.350967,51.47129,58.021305,60.84692,78.40151,74.006935,79.87678,73.32992,67.53897,68.4995,74.950516,89.36845,103.47361,120.964806
Namibia,10.158506,5.397102,5.0215225,6.314966,6.020458,9.465662,9.189578,8.87711,9.752679,13.059384,12.682486,14.678372,14.113462,14.879573,15.511443,16.35008,16.296886,16.769943,17.675087,18.015572,18.546684,19.268457,19.851057,20.532598,21.837519
Nepal,5.5445786,6.3223166,6.666408,6.8113465,7.646126,8.456482,9.594314,10.355411,12.596296,14.234108,14.71252,15.524642,16.346617,17.194744,17.174726,17.8338,17.594135,17.46719,19.34023,22.126297,23.594429,25.143528,26.434418,27.945059,30.193071
Netherlands,910.73474,928.0633,939.1174,946.9661,936.80884,974.96185,1017.11066,998.8505,1005.94214,993.77686,1006.81946,1045.5573,1046.061,1053.0762,1088.7443,1112.242,1089.5758,1107.524,1094.3888,1079.291,1170.6506,1115.0919,1095.6993,1062.885,1016.3307
New Zealand,186.43506,190.18727,190.50142,196.24625,207.13748,214.90567,217.98781,218.02164,218.02252,219.93279,229.55722,227.48297,235.29236,228.07092,234.68011,228.75876,230.26445,229.46591,230.09772,229.50471,235.12544,236.09343,237.84451,239.55879,250.67651
Nicaragua,10.794632,10.326629,11.646792,11.985564,12.22073,13.074836,13.782107,14.174021,15.335933,16.443146,16.296354,17.29853,17.631357,18.706703,19.467884,19.785313,19.881092,20.705866,20.953167,20.958368,21.665756,22.791327,23.010035,24.426323,25.913784
Niger,3.7301812,3.7755542,3.6855428,3.8819888,3.9205313,4.040052,4.0600514,4.0806212,4.235751,3.943104,3.3174543,3.248509,3.4545631,3.7986734,4.167837,3.9281306,3.9520555,4.2528415,4.7267857,5.5650773,6.888005,6.914141,9.193494,10.34247,9.81472
Nigeria,204.31708,224.61479,230.29465,233.79454,217.99307,242.4415,248.42427,248.52365,238.31921,239.12183,224.48198,254.04959,265.27914,279.6391,290.2112,317.43533,283.01282,259.4425,312.0455,195.81082,243.69942,346.74713,345.8569,444.87653,485.73407
North Macedonia,29.659569,29.447424,30.236948,30.279469,28.441813,28.651134,33.28032,30.01362,33.92399,32.503963,30.847715,29.024567,28.361494,31.975607,31.577074,32.65849,33.200977,32.974598,31.932074,31.44994,34.147484,34.064377,31.627125,30.22361,27.96435
Norway,495.3977,456.79172,481.06427,496.45157,479.502,508.8202,466.73715,490.68387,510.29834,523.8298,580.51166,524.99615,546.2653,482.0271,490.92905,560.7537,513.5541,551.2713,564.52246,521.2537,500.3798,507.48676,562.04785,526.9257,542.7384
Oman,46.577927,60.79354,60.287495,58.153595,54.4814,63.82267,65.47451,67.46645,69.17986,78.620995,110.92367,123.159355,132.99884,137.96097,128.17462,155.01062,170.27194,172.56383,200.78444,199.19771,236.93105,259.68335,283.3029,317.48486,315.79758
Pakistan,305.49792,323.70065,340.02856,376.3136,389.3819,410.67953,437.42648,422.88452,453.84885,473.72205,483.7543,495.15015,514.1093,559.92676,623.06195,646.4842,681.3318,724.4105,727.9981,737.5944,740.76044,740.26276,687.83606,751.7423,775.9353
Panama,52.770836,52.171192,53.090485,53.30634,59.37977,62.520016,56.26093,57.836548,60.92675,42.45507,67.0678,68.16489,67.34377,67.91378,69.25394,69.187996,75.12776,70.90109,83.056435,80.47027,91.285095,92.07825,102.21984,100.602745,102.87565
Paraguay,67.6712,71.73466,67.65228,76.39585,88.24514,101.764404,106.49361,117.26145,119.43555,124.97288,124.69319,110.88627,115.54269,122.492584,121.593834,119.13373,124.73727,125.26997,129.20233,128.04562,129.48898,136.43077,140.0199,141.21852,133.65765
Peru,107.016975,106.14931,103.354836,112.95392,122.81121,133.32191,137.43759,134.76834,139.04411,142.63318,147.35915,146.07588,149.57689,147.67165,157.39606,163.72984,165.59296,180.28453,194.64412,198.44006,225.28638,248.55608,256.72537,262.58148,268.82904
