Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Honduras,4.273426185,4.234225755,4.404652569,4.698275625,4.632297199,4.723680479,4.880477376,4.753899819,4.638347083,5.312449479,5.696065072,5.544513828,5.61647175,5.502095008,5.568808778,5.826296344,6.583208986,6.112888646,6.548991111,6.719493425,6.885812173,6.583560311,6.801198848,7.01033021,7.446472699
Hungary,0.0,3.144263819,3.401403627,3.384497274,3.674215165,3.665626457,3.628308689,3.886172882,4.155498688,4.365516859,4.843521224,5.258767896,5.764091046,5.99347586,6.292035057,6.251667234,6.759262943,7.164845064,7.849640224,8.350635924,8.402672149,9.15656204,9.785500923,10.78289984,11.0628765
Iceland,2.467291084,2.782258893,2.819990102,2.721715502,2.840190314,2.900584932,2.799762221,3.134187726,3.174643216,2.94105142,2.679298323,3.000667521,3.010189889,3.039685525,3.383445662,3.537637021,3.069524925,2.791071863,2.648819841,2.479859111,2.326629148,2.245188829,2.378115257,2.429156935,2.551606751
India,3.432595711,3.442085515,3.58262905,3.751940328,3.936102926,4.088162114,4.344349106,4.422775946,4.637836836,4.841921106,5.022068756,5.303777712,5.430311467,5.826388486,6.131169426,6.565881228,6.944923863,7.267196615,7.279179991,7.183670702,7.543342952,7.774591654,8.113402288,8.348251096,8.22093589
Indonesia,5.667936217,5.972100779,6.240419102,6.193921749,6.794183736,6.806203598,7.211131833,7.43052236,6.673724976,6.514007223,6.446335345,6.671004866,6.827920843,7.26654769,7.352103444,7.873282463,8.361111398,9.173695206,9.722186048,9.4820026,9.697850473,10.91188576,11.38517888,11.65474139,11.62641511
Iran,5.867941844,6.149920661,6.144816404,5.90319047,5.34874181,5.336818395,5.925566218,5.412013505,5.491094283,4.952455515,5.499132418,5.22005453,5.499154966,5.893573197,5.79249977,5.553710222,5.748364661,6.033900163,5.754410101,5.867940957,6.278795583,6.452206037,5.482203837,5.225864252,4.926886331
Iraq,6.431526362,3.002916089,2.740884035,2.808636684,2.629414911,2.853905651,3.222559544,3.340184919,6.384939705,9.855142967,8.680202733,8.117469777,8.073079827,5.986835132,9.209366038,9.790662708,11.77620143,12.04776054,12.27175787,10.66601355,10.08310403,10.11840952,10.46909449,10.3494403,9.909542036
Ireland,4.869627514,5.0886221,5.44331967,5.615902203,5.779390033,6.4135271,6.555568389,6.948342519,7.332523461,7.616340032,8.322874045,8.764311875,9.617316478,10.30935246,10.86803401,11.54163713,12.90755653,13.68731774,13.4442262,13.22507771,13.74598758,15.65426123,16.21293979,17.01512831,18.62724123
Israel,6.157606554,6.834796036,6.554106203,6.663705743,6.854784774,7.113897548,7.397834829,7.425775281,7.637390018,8.249492703,8.597888055,8.382522116,8.811274378,8.075978259,8.932694469,9.330048477,8.90406436,9.475106024,8.767000124,9.563693747,9.474057217,10.24770408,10.33134884,11.89705142,12.38474968
Italy,7.199807275,7.376186612,7.65511103,7.810525893,8.253173325,7.985208878,8.231916791,8.420748932,8.589443242,8.657319188,8.990977338,9.284753541,9.461327385,9.204602347,9.314991254,9.372845684,10.20670932,10.82866854,11.5052658,12.06870151,12.00508639,12.93945399,13.46706802,14.07834218,14.99072841
Jamaica,4.141708669,4.472144174,4.430403787,4.947709758,5.025148115,4.933585107,4.761582612,4.78880674,4.550855484,4.538241653,4.424747698,4.568338467,5.075772718,5.144524587,5.292145528,5.573152022,5.273062505,5.461263852,6.56316052,7.375666563,8.303679876,8.084303558,8.403987058,8.387093861,8.746377539
Japan,5.508394967,5.831491603,5.877260682,5.946767389,5.817316223,5.947579139,6.115819252,6.222508563,6.338831637,6.313709318,6.571938647,6.853969616,7.054174815,7.31680545,7.441509317,7.793161796,8.162591936,8.598176325,9.018882065,9.025014446,8.986539607,9.907659285,10.51387267,10.92436339,11.28834039
Jordan,4.534174622,4.617815136,4.988838093,5.394355484,5.3952336,5.489995051,5.56252995,5.722014676,5.763300369,6.064739079,6.174143195,6.708849728,6.863434476,7.12209126,6.606267381,6.861313835,7.443464912,7.860736871,8.763397783,8.827993869,9.593577312,10.10043944,9.325156652,10.07632329,9.857392722
Kazakhstan,1.840874746,1.659938305,1.528308105,1.706784002,1.719742802,1.793696599,2.114574622,2.512083225,2.502055064,2.854582265,3.226172998,3.86555011,3.747546302,3.846257351,3.673828695,4.148508764,3.918811059,4.073325394,4.05778762,4.554137248,4.539729172,4.448777735,4.87673737,5.069442439,5.575757161
Kenya,3.270062863,3.366077088,3.327698634,3.335381026,3.458209513,3.518172873,3.599641493,3.63579198,3.660879941,3.717774309,3.693289446,3.864355092,3.895115137,3.996224341,4.102692265,4.32517897,4.550454987,4.886246917,4.822920258,4.740844772,4.978272418,5.282906917,5.576185846,5.914101753,5.974805013
South Korea,3.8173095,4.051698042,3.96323565,3.86439129,4.059100286,4.142870574,4.17759976,4.134612967,4.328857103,4.420089407,4.517721659,4.752466963,4.981470798,5.049446157,5.29392354,5.544273408,5.851742333,6.094709863,6.189494186,6.091749779,6.018303876,5.986386473,6.115469631,6.2342882,6.350128914
Kosovo,0.0,0.4059049349,0.8118098698,1.2177148047,1.6236197396,2.0295246745,2.4354296094,2.8413345443,3.2472394792,3.6531444141000002,4.059049349,4.278106682,4.333805887,4.443627314,4.656304612,5.245351808,5.588677383,5.92070606,5.718362859,5.432076785,5.539251694,5.825323033,6.469327457,6.790649475,7.416530672
Kuwait,0.0,3.352670063,6.705340126,6.597792154,6.228851413,6.504712621,6.776032031,6.992448282,6.41577907,5.955824101,6.136885059,5.888805433,5.99223707,6.717037357,7.126514565,7.227142807,8.198341261,8.71858846,8.331751593,7.131474647,6.897035989,7.646622886,7.392146765,7.813809752,7.6255077
Kyrgyzstan,1.493226545,1.56897455,1.883624238,2.097264924,2.371051648,2.683262807,2.530104651,3.007761879,2.917604135,3.510920995,3.937097059,4.558708108,4.120583591,4.219570089,4.7050434,4.782293683,5.161449538,4.93393617,5.097872055,5.78805383,6.105338552,5.492999998,4.749186981,5.815563308,6.5833543
Latvia,0.0,0.77685333125,1.5537066625,2.33055999375,3.107413325,2.968105146,3.139160337,3.550076196,3.923859444,4.441568513,4.953823382,5.12657373,5.701150034,5.826125032,6.220579652,6.841243761,7.447770156,8.315377964,9.241554396,8.238510414,8.191370463,9.575688616,9.808979179,10.52463138,10.95361171
Lebanon,5.529015147,6.901846326,8.11137083,6.420749801,6.470464373,6.134008164,6.591952726,6.000669515,6.401921939,6.174585858,7.037528217,6.966212953,7.365683681,7.736373475,8.357614941,9.284583307,10.23160446,13.03525622,11.29498601,10.23130586,11.65570083,12.06892073,11.49453496,12.51201887,12.59962951
Libya,0.0,0.671868487,1.343736974,2.015605461,2.687473948,3.3593424350000003,4.031210922,4.703079409,5.374947896,6.046816383,6.108012833,5.951612745,5.757565097,6.441772915,6.721957792,7.826165736,8.493370151,9.975593028,9.80139504,9.036372691,8.914558525,5.241028208,8.850279801,6.468190951,5.092491578
Lithuania,0.0,0.4932969488,0.9865938976,1.4798908464,1.9731877952,2.466484744,2.442927689,2.838285383,2.948042583,3.461429269,4.151709783,3.96341432,4.076499176,4.454333112,4.688958147,5.45518672,6.182187606,6.522934426,6.970660952,6.553872246,8.81195847,9.460782068,9.982059684,11.32116994,11.79427738
